"","level","C","T","SMD"
"n","","406","184",""
"Clinic location (%)","KY","103 (25.4)","45 (24.5)","0.150"
"","MN","123 (30.3)","58 (31.5)",""
"","MS","96 (23.6)","52 (28.3)",""
"","NY","84 (20.7)","29 (15.8)",""
"Age (y) (mean (SD))","","25.91 (5.52)","25.99 (5.60)","0.015"
"Race: Black (%)","No","226 (55.7)","102 (55.4)","0.005"
"","Yes","180 (44.3)","82 (44.6)",""
"Race: White (%)","No","288 (70.9)","157 (85.3)","0.354"
"","Yes","118 (29.1)","27 (14.7)",""
"Race: Native American (%)","No","289 (71.2)","104 (56.5)","0.309"
"","Yes","117 (28.8)","80 (43.5)",""
"Level of Education (%)","8-12 yrs","238 (58.6)","107 (58.2)","0.032"
"","LT 8 yrs","76 (18.7)","33 (17.9)",""
"","MT 12 yrs","92 (22.7)","44 (23.9)",""
"Received public assistance for delivery (%)","No","97 (23.9)","48 (26.1)","0.051"
"","Yes","309 (76.1)","136 (73.9)",""
"Chronic hypertension at baseline (%)","N","397 (97.8)","178 (96.7)","0.064"
"","Y","9 (2.2)","6 (3.3)",""
"Diabetes at baseline (%)","No","398 (98.0)","175 (95.1)","0.161"
"","Yes","8 (2.0)","9 (4.9)",""
"Body mass index (mean (SD))","","27.49 (6.89)","28.04 (7.95)","0.074"
"# cigarettes per day (mean (SD))","","0.82 (3.09)","0.90 (3.43)","0.025"
"# drinks per day (mean (SD))","","0.04 (0.40)","0.03 (0.38)","0.013"
"# previous pregnancies (mean (SD))","","1.87 (1.82)","1.67 (1.73)","0.114"
"Previous live pre-term birth, stillbirth,
or spontaneous/induced abortion (%)","No","237 (58.4)","122 (66.3)","0.164"
"","Yes","169 (41.6)","62 (33.7)",""
"# of qualifying teeth (mean (SD))","","14.33 (6.67)","14.41 (6.92)","0.011"
"Whole-mouth average gingival index (mean (SD))","","1.42 (0.39)","1.49 (0.42)","0.173"
"Fraction of sites bleeding
on probing (mean (SD))","","69.12 (17.04)","70.08 (16.99)","0.057"
"Whole-mouth average pocket depth (mean (SD))","","2.84 (0.53)","2.87 (0.59)","0.064"
"Whole-mouth average clinical attachment level (mean (SD))","","1.37 (0.66)","1.50 (0.78)","0.176"
"Whole-mouth average calculus index (mean (SD))","","1.13 (0.62)","1.17 (0.61)","0.066"
"Whole-mouth average plaque index (mean (SD))","","1.23 (0.48)","1.28 (0.49)","0.111"
"Pregnancy ended before 37 weeks (%)","No","353 (86.9)","166 (90.2)","0.103"
"","Yes","53 (13.1)","18 (9.8)",""
"Birth weight (g) (mean (SD))","","3180.82 (727.49)","3259.16 (574.17)","0.120"
