"","level","C","T","SMD"
"n","","  368","  184",""
"Clinic (%)","KY","   90 (24.5) ","   45 (24.5) "," 0.161"
"","MN","  102 (27.7) ","   58 (31.5) ",""
"","MS","   96 (26.1) ","   52 (28.3) ",""
"","NY","   80 (21.7) ","   29 (15.8) ",""
"Age (mean (SD))","","25.90 (5.56)","25.99 (5.60)"," 0.016"
"Black (%)","No ","  189 (51.4) ","  102 (55.4) "," 0.082"
"","Yes","  179 (48.6) ","   82 (44.6) ",""
"White (%)","No ","  286 (77.7) ","  157 (85.3) "," 0.197"
"","Yes","   82 (22.3) ","   27 (14.7) ",""
"Nat.Am (%)","No ","  251 (68.2) ","  104 (56.5) "," 0.243"
"","Yes","  117 (31.8) ","   80 (43.5) ",""
"Education (%)","8-12 yrs ","  213 (57.9) ","  107 (58.2) "," 0.014"
"","LT 8 yrs ","   68 (18.5) ","   33 (17.9) ",""
"","MT 12 yrs","   87 (23.6) ","   44 (23.9) ",""
"Public.Asstce (%)","No ","   88 (23.9) ","   48 (26.1) "," 0.050"
"","Yes","  280 (76.1) ","  136 (73.9) ",""
"Hypertension (%)","N  ","  359 (97.6) ","  178 (96.7) "," 0.049"
"","Y  ","    9 ( 2.4) ","    6 ( 3.3) ",""
"Diabetes (%)","No ","  360 (97.8) ","  175 (95.1) "," 0.148"
"","Yes","    8 ( 2.2) ","    9 ( 4.9) ",""
"bmi_imputed (mean (SD))","","27.52 (6.69)","27.81 (7.50)"," 0.040"
"cigday_imputed (mean (SD))",""," 0.85 (3.16)"," 0.89 (3.41)"," 0.014"
"drinksday_imputed (mean (SD))",""," 0.04 (0.40)"," 0.03 (0.38)"," 0.007"
"prevpreg_imputed (mean (SD))",""," 1.86 (1.86)"," 1.67 (1.73)"," 0.104"
"Any.live.ptb.sb.sp.ab.in.ab (%)","No ","  219 (59.5) ","  122 (66.3) "," 0.141"
"","Yes","  149 (40.5) ","   62 (33.7) ",""
"N.qualifying.teeth (mean (SD))","","14.16 (6.66)","14.41 (6.92)"," 0.038"
"BL.GE (mean (SD))",""," 1.43 (0.40)"," 1.49 (0.42)"," 0.144"
"BL..BOP (mean (SD))","","68.80 (17.18)","70.08 (16.99)"," 0.075"
"BL.PD.avg (mean (SD))",""," 2.81 (0.52)"," 2.87 (0.59)"," 0.116"
"BL.CAL.avg (mean (SD))",""," 1.40 (0.68)"," 1.50 (0.78)"," 0.142"
"BL.Calc.I (mean (SD))",""," 1.11 (0.61)"," 1.17 (0.61)"," 0.110"
"BL.Pl.I (mean (SD))",""," 1.23 (0.48)"," 1.28 (0.49)"," 0.117"
